ch1 ch2
2 2
2 2
2 2
2 2
2 2
4 3
4 3
4 3
4 3
4 3
5 4
5 4
5 4
6 5
8 6
10 8
11 9
12 10
14 12
17 14
18 15
18 15
19 15
19 15
19 15
19 15
19 15
19 15
20 15
22 17
22 17
23 17
23 17
23 17
25 18
25 18
26 19
27 20
28 21
28 21
30 21
30 21
30 21
30 21
31 22
32 23
32 23
32 23
34 25
34 25
36 27
36 27
36 27
38 29
40 30
40 30
41 31
41 31
41 31
41 31
42 32
43 32
44 33
45 34
46 35
48 37
50 39
50 39
51 39
52 40
52 40
52 40
53 41
53 41
55 43
56 44
57 45
58 46
59 47
60 48
61 49
61 49
62 50
62 50
62 50
62 50
63 51
63 51
63 51
64 52
65 53
65 53
67 55
67 55
68 56
68 56
70 58
70 58
70 58
70 58
72 60
73 61
75 63
78 66
78 66
79 67
79 67
80 68
81 69
81 69
82 69
84 71
84 71
87 74
87 74
87 74
87 74
89 76
91 76
91 76
92 77
93 78
94 79
95 80
96 81
98 82
100 83
101 84
103 85
103 85
103 85
104 86
104 86
