ch1 ch2
26 18
44 35
67 54
97 76
118 96
139 114
156 128
174 145
191 162
211 182
225 195
244 212
264 231
281 247
302 268
321 286
344 305
364 323
384 342
399 353
416 370
442 392
462 410
480 428
501 447
510 455
528 471
539 481
561 503
575 516
597 536
619 557
637 574
663 595
685 616
705 635
725 654
739 668
760 688
776 704
791 718
804 731
825 747
845 767
861 781
877 796
891 809
912 831
934 852
954 871
967 883
989 902
1013 926
1031 944
1046 957
1067 976
1089 997
1115 1023
1136 1042
1154 1060
1173 1079
1189 1096
1205 1112
1229 1136
1247 1153
1267 1171
1286 1190
1304 1206
1319 1220
1336 1237
1362 1262
1379 1279
1402 1301
1417 1316
1437 1335
1457 1354
1474 1370
1498 1392
1513 1407
1531 1424
1551 1443
1573 1464
1601 1490
1620 1509
1639 1526
1655 1542
1673 1560
1687 1573
1704 1589
1720 1604
1736 1620
1764 1648
1779 1663
1807 1689
1826 1703
1840 1716
1854 1730
1878 1751
1900 1773
1920 1790
1939 1807
1959 1826
1973 1838
1993 1856
2009 1871
2024 1886
2046 1908
2063 1924
2086 1944
2104 1961
2128 1983
2146 1998
2163 2015
2181 2031
2195 2045
2207 2057
2228 2077
2249 2096
2261 2106
2280 2124
2292 2135
2303 2146
2321 2162
2340 2180
2360 2198
2375 2211
2402 2238
2422 2256
2434 2267
2450 2282
2468 2300
2483 2314
2507 2335
2524 2351
2542 2367
2564 2388
2579 2402
2600 2422
2618 2440
2639 2461
2661 2481
2682 2501
2703 2521
2724 2540
2742 2555
2762 2575
2782 2591
2800 2606
2816 2622
2834 2639
2862 2665
2881 2683
2896 2697
2912 2713
2934 2735
2952 2753
2973 2772
2984 2782
2994 2792
3010 2807
3032 2827
3051 2846
3071 2866
3085 2879
3116 2908
3138 2926
3163 2951
3185 2973
3208 2996
3227 3014
3244 3031
3256 3041
3270 3054
3292 3075
3320 3102
3335 3116
3358 3139
3375 3154
3392 3171
3413 3191
3432 3210
3458 3236
3474 3252
3499 3277
3514 3291
3533 3309
3550 3325
3573 3348
3596 3370
3617 3390
3646 3418
3667 3437
3695 3458
3723 3482
3741 3497
3763 3515
3795 3537
3822 3560
3843 3579
3859 3593
3880 3613
3905 3633
3929 3653
3953 3674
3970 3691
3989 3709
4013 3733
4028 3748
4051 3770
4078 3795
4103 3819
4114 3829
4135 3850
4159 3872
4188 3899
4216 3923
4242 3947
4260 3963
4281 3983
4310 4006
4333 4023
4356 4042
4386 4068
4412 4090
4436 4110
4466 4137
4490 4159
4516 4179
4528 4190
4555 4211
4574 4228
4587 4240
4617 4262
4633 4275
4650 4290
4666 4304
4683 4321
4701 4337
4727 4357
4727 4357
