Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-08,,
Horizontal Delay,1.212e-07,,
Sample Interval,4e-10,,
Record Length,1000,,
Gating,0.1% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.5,0.2,0.2
Vertical Position,3.18,1.02,-2.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-7.880e-08,-0.0100781,-0.0120313,0.0199688
-7.840e-08,0.00992187,-0.0120313,0.0119688
-7.800e-08,-0.01,-0.004,0.004
-7.760e-08,-0.01,-0.004,0.004
-7.720e-08,-0.01,-0.004,-0.004
-7.680e-08,-0.01,0.004,0.004
-7.640e-08,-0.01,-0.004,-0.004
-7.600e-08,-0.0100781,0.00396875,0.00396875
-7.560e-08,-0.0100781,-0.00403125,0.00396875
-7.520e-08,-0.0100781,-0.00403125,-0.0120312
-7.480e-08,0.00992187,-0.0120313,-0.0120312
-7.440e-08,0.01,-0.012,-0.012
-7.400e-08,0.01,-0.012,0.004
-7.360e-08,-0.0100781,-0.00403125,-0.00403125
-7.320e-08,0.00992187,-0.00403125,-0.00403125
-7.280e-08,-0.0100781,0.00396875,-0.00403125
-7.240e-08,-0.01,0.004,-0.004
-7.200e-08,0.00992187,0.00396875,0.00396875
-7.160e-08,0.00992187,-0.0120313,0.0119688
-7.120e-08,-0.0100781,-0.00403125,0.0119688
-7.080e-08,0.01,0.004,0.004
-7.040e-08,-0.01,0.004,0.004
-7.000e-08,-0.01,0.004,0.012
-6.960e-08,0.00992187,0.00396875,0.0119688
-6.920e-08,-0.0100781,0.00396875,0.0119688
-6.880e-08,-0.0100781,0.00396875,0.0119688
-6.840e-08,-0.0100781,0.00396875,0.0119688
-6.800e-08,0.01,-0.004,0.02
-6.760e-08,0.00992187,-0.00403125,0.0199688
-6.720e-08,-0.01,-0.012,0.02
-6.680e-08,-0.0100781,-0.0120313,0.0119688
-6.640e-08,-0.0100781,-0.00403125,0.0119688
-6.600e-08,0.01,-0.012,0.004
-6.560e-08,-0.0100781,-0.00403125,-0.00403125
-6.520e-08,-0.01,-0.004,-0.004
-6.480e-08,-0.01,-0.004,-0.004
-6.440e-08,-0.0100781,0.0119688,-0.00403125
-6.400e-08,-0.01,0.02,0.004
-6.360e-08,-0.01,0.028,0.012
-6.320e-08,0.00992187,0.0119688,0.0119688
-6.280e-08,-0.01,-0.004,0.004
-6.240e-08,-0.0100781,0.00396875,0.0119688
-6.200e-08,-0.0100781,0.00396875,0.0119688
-6.160e-08,0.01,0.02,0.012
-6.120e-08,-0.01,0.012,0.004
-6.080e-08,-0.01,0.004,0.004
-6.040e-08,-0.01,-0.012,0.012
-6.000e-08,-0.0100781,-0.0120313,0.0279688
-5.960e-08,0.00992187,-0.0120313,0.0119688
-5.920e-08,0.01,-0.004,0.004
-5.880e-08,-0.01,0.004,-0.004
-5.840e-08,-0.01,0.004,-0.004
-5.800e-08,0.01,0.004,0.004
-5.760e-08,0.00992187,0.00396875,0.0119688
-5.720e-08,0.01,0.004,0.012
-5.680e-08,-0.0100781,0.00396875,0.00396875
